"Samples","ID","Group","FBratio","Bacteroidetes","Firmicutes","dataset_name"
"ERAS2_Dag180","ERAS2","Day180",2.51146640003788,0.173116586212235,0.434776489561288,"PRJEB20800"
"ERAS2_Dag42","ERAS2","Day42",1.54441029681974,0.528308545207055,0.815925157115634,"PRJEB20800"
"ERAS2_Dag4opt","ERAS2","Day4",5.25403911564625,0.000846569403768765,0.00444790876151042,"PRJEB20800"
"ERAS2_Dag8","ERAS2","Day8",0.687207710167828,0.525847746937349,0.361366626069727,"PRJEB20800"
"ERAS3_Dag0","ERAS3","Day0",2.54411288710075,0.148157897769978,0.376930417042356,"PRJEB20800"
"ERAS3_Dag180","ERAS3","Day180",1.35534376940575,0.320520872889841,0.434415968035738,"PRJEB20800"
"ERAS3_Dag4","ERAS3","Day4",9.52646971614906,0.00557999777895996,0.0531576798574411,"PRJEB20800"
"ERAS3_Dag42","ERAS3","Day42",0.523933945863098,0.507650627398769,0.265975396332914,"PRJEB20800"
"ERAS3_Dag8","ERAS3","Day8",0.210742175031448,0.649041480540541,0.136780413294745,"PRJEB20800"
"ERAS4_Dag0","ERAS4","Day0",1.162215200007,0.230008421269895,0.267319283329485,"PRJEB20800"
"ERAS4_Dag180","ERAS4","Day180",1.41388741374355,0.227315585366022,0.321398645096766,"PRJEB20800"
"ERAS4_Dag42","ERAS4","Day42",0.613866297002664,0.499318702876149,0.306514923158755,"PRJEB20800"
"ERAS4_Dag4opt","ERAS4","Day4",26.7467047104236,0.00220511548246331,0.0589795726618295,"PRJEB20800"
"ERAS4_Dag8opt","ERAS4","Day8",0.825081003530361,0.541902343743678,0.447113329591488,"PRJEB20800"
"ERAS5_Dag0","ERAS5","Day0",1.17770649166197,0.350446600501798,0.412723236391837,"PRJEB20800"
"ERAS5_Dag180","ERAS5","Day180",0.875484269591918,0.367049288186662,0.321345877972334,"PRJEB20800"
"ERAS5_Dag4","ERAS5","Day4",1.65535533677008,0.111305196525732,0.184249651079113,"PRJEB20800"
"ERAS5_Dag42","ERAS5","Day42",0.642080330991476,0.4733024474715,0.303898192131577,"PRJEB20800"
"ERAS5_Dag8","ERAS5","Day8",0.0361349552824549,1.52276527557236,0.0550250551384822,"PRJEB20800"
"ERAS6_Dag0","ERAS6","Day0",0.90486147413291,0.413026456245211,0.373731728053933,"PRJEB20800"
"ERAS6_Dag180","ERAS6","Day180",0.289521105938413,0.300148868934841,0.086899432480179,"PRJEB20800"
"ERAS6_Dag42","ERAS6","Day42",1.16138728419648,0.261988743730046,0.304270395570685,"PRJEB20800"
